FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,KD,TD,SUB.ATT,REV,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND,SIG,TOT.SIG,STR,TOTAL.STR,TOTAL.TD,TOTAL.HEAD,TOTAL.BODY,TOTAL.LEG,TOTAL.DISTANCE,TOTAL.CLINCH,TOTAL.GROUND,OPP_KD,OPP_TD,OPP_SUB.ATT,OPP_REV,OPP_CTRL,OPP_HEAD,OPP_BODY,OPP_LEG,OPP_DISTANCE,OPP_CLINCH,OPP_GROUND,OPP_SIG,OPP_TOT.SIG,OPP_STR,OPP_TOTAL.STR,OPP_TOTAL.TD,OPP_TOTAL.HEAD,OPP_TOTAL.BODY,OPP_TOTAL.LEG,OPP_TOTAL.DISTANCE,OPP_TOTAL.CLINCH,OPP_TOTAL.GROUND,TD_DEF,HEAD_DEF,BODY_DEF,LEG_DEF,DISTANCE_DEF,CLINCH_DEF,GROUND_DEF,SIG_DEF,STR_DEF,TD_%,HEAD_%,BODY_%,LEG_%,DISTANCE_%,CLINCH_%,GROUND_%,SIG_%,STR_%,TD_DEF_%,HEAD_DEF_%,BODY_DEF_%,LEG_DEF_%,DISTANCE_DEF_%,CLINCH_DEF_%,GROUND_DEF_%,SIG_DEF_%,STR_DEF_%
David Onama,Orthodox,No,No,No,3.0,3.0,1.0,2.0,7.033333333333333,235.0,34.0,10.0,224.0,25.0,30.0,279.0,597.0,341.0,679.0,16.0,536.0,51.0,10.0,511.0,36.0,50.0,0.0,13.0,4.0,1.0,17.48333333333333,194.0,60.0,30.0,222.0,35.0,27.0,284.0,583.0,380.0,713.0,24.0,462.0,81.0,40.0,483.0,59.0,41.0,11.0,268.0,21.0,10.0,261.0,24.0,14.0,299.0,333.0,0.1875,0.43843283582089554,0.6666666666666666,0.3,0.4383561643835616,0.6944444444444444,0.6,0.46733668341708545,0.5022091310751104,0.45833333333333337,0.5800865800865801,0.2592592592592593,0.675,0.5403726708074534,0.4067796610169492,0.3414634146341463,0.5128644939965694,0.4670406732117812
Gabriel Santos,,No,No,No,0.0,7.0,2.0,0.0,5.516666666666667,54.0,33.0,21.0,91.0,15.0,2.0,108.0,195.0,143.0,231.0,15.0,119.0,48.0,28.0,175.0,16.0,4.0,1.0,1.0,0.0,1.0,5.183333333333334,106.0,30.0,10.0,119.0,15.0,12.0,146.0,265.0,174.0,301.0,3.0,212.0,43.0,10.0,230.0,17.0,18.0,2.0,106.0,13.0,0.0,111.0,2.0,6.0,119.0,127.0,0.4666666666666667,0.453781512605042,0.6875,0.25,0.52,0.9375,0.5,0.5538461538461539,0.6190476190476191,0.6666666666666667,0.5,0.3023255813953488,0.9,0.4826086956521739,0.11764705882352944,0.33333333333333337,0.4490566037735849,0.4219269102990033
Phil Rowe,Orthodox,No,No,No,2.0,4.0,2.0,2.0,12.05,131.0,31.0,31.0,167.0,23.0,3.0,193.0,399.0,224.0,437.0,10.0,325.0,41.0,33.0,363.0,30.0,6.0,2.0,8.0,1.0,0.0,20.966666666666665,147.0,41.0,51.0,179.0,33.0,27.0,239.0,538.0,463.0,790.0,20.0,426.0,59.0,53.0,454.0,53.0,31.0,12.0,279.0,18.0,2.0,275.0,20.0,4.0,299.0,327.0,0.4,0.40307692307692305,0.7560975609756098,0.12121212121212122,0.46005509641873277,0.7666666666666667,0.5,0.48370927318295737,0.5125858123569794,0.6,0.6549295774647887,0.30508474576271183,0.8490566037735849,0.605726872246696,0.37735849056603776,0.12903225806451613,0.5557620817843867,0.4139240506329114
Trevor Peek,,No,No,No,2.0,0.0,0.0,1.0,1.65,63.0,31.0,8.0,75.0,21.0,6.0,102.0,211.0,116.0,226.0,1.0,161.0,42.0,8.0,172.0,32.0,7.0,0.0,8.0,1.0,1.0,7.733333333333333,56.0,12.0,10.0,48.0,20.0,10.0,78.0,146.0,156.0,238.0,18.0,121.0,15.0,10.0,106.0,24.0,16.0,10.0,65.0,3.0,0.0,58.0,4.0,6.0,68.0,82.0,0.0,0.391304347826087,0.7380952380952381,0.0,0.436046511627907,0.65625,0.8571428571428571,0.4834123222748815,0.5132743362831859,0.5555555555555556,0.5371900826446281,0.19999999999999996,0.19999999999999996,0.5471698113207547,0.16666666666666663,0.375,0.4657534246575342,0.3445378151260504
Zhalgas Zhumagulov,Switch,No,No,No,0.0,7.0,1.0,0.0,8.883333333333333,155.0,137.0,133.0,404.0,19.0,2.0,425.0,987.0,501.0,1074.0,36.0,615.0,219.0,153.0,954.0,28.0,5.0,2.0,2.0,0.0,0.0,5.6,280.0,125.0,70.0,435.0,36.0,4.0,475.0,993.0,616.0,1146.0,8.0,736.0,174.0,83.0,941.0,47.0,5.0,6.0,456.0,49.0,13.0,506.0,11.0,1.0,518.0,530.0,0.19444444444444445,0.25203252032520324,0.6255707762557078,0.0457516339869281,0.42348008385744235,0.6785714285714286,0.4,0.43059777102330293,0.4664804469273743,0.75,0.6195652173913043,0.2816091954022989,0.9759036144578314,0.5377258235919236,0.23404255319148937,0.19999999999999996,0.5216515609264853,0.462478184991274
Ronnie Lawrence,Switch,No,No,No,3.0,15.0,0.0,1.0,16.083333333333332,91.0,24.0,24.0,65.0,6.0,68.0,139.0,238.0,183.0,287.0,18.0,170.0,40.0,28.0,129.0,8.0,101.0,2.0,11.0,4.0,3.0,15.183333333333332,63.0,13.0,14.0,47.0,12.0,31.0,90.0,187.0,245.0,379.0,19.0,151.0,21.0,15.0,124.0,18.0,45.0,8.0,88.0,8.0,1.0,77.0,6.0,14.0,97.0,134.0,0.8333333333333334,0.5352941176470588,0.6,0.5357142857142857,0.5038759689922481,0.75,0.6732673267326733,0.5840336134453782,0.6376306620209059,0.42105263157894735,0.5827814569536424,0.38095238095238093,0.2666666666666667,0.6209677419354839,0.33333333333333337,0.3111111111111111,0.518716577540107,0.35356200527704484
Jared Cannonier,Switch,No,No,Yes,5.0,6.0,0.0,0.0,13.533333333333333,604.0,202.0,159.0,781.0,108.0,76.0,965.0,1855.0,1124.0,2032.0,14.0,1393.0,269.0,193.0,1632.0,134.0,89.0,5.0,22.0,2.0,0.0,30.5,582.0,145.0,125.0,789.0,29.0,34.0,852.0,2111.0,1033.0,2339.0,60.0,1742.0,223.0,146.0,1987.0,57.0,67.0,38.0,1160.0,78.0,21.0,1198.0,28.0,33.0,1259.0,1306.0,0.42857142857142855,0.4335965541995693,0.7509293680297398,0.031088082901554404,0.47855392156862747,0.8059701492537313,0.8539325842696629,0.5202156334231806,0.5531496062992126,0.6333333333333333,0.6659012629161882,0.34977578475336324,0.8493150684931507,0.602918973326623,0.49122807017543857,0.4925373134328358,0.5963998105163429,0.5583582727661394
Marvin Vettori,Southpaw,No,No,Yes,1.0,28.0,8.0,1.0,54.61666666666667,896.0,132.0,128.0,982.0,78.0,96.0,1156.0,2532.0,1584.0,3050.0,62.0,2226.0,165.0,141.0,2282.0,118.0,132.0,0.0,13.0,0.0,2.0,16.766666666666666,650.0,205.0,222.0,969.0,74.0,34.0,1077.0,2490.0,1318.0,2752.0,42.0,1939.0,281.0,270.0,2331.0,110.0,49.0,29.0,1289.0,76.0,48.0,1362.0,36.0,15.0,1413.0,1434.0,0.45161290322580644,0.4025157232704403,0.8,0.19858156028368795,0.4303242769500438,0.6610169491525424,0.7272727272727273,0.4565560821484992,0.519344262295082,0.6904761904761905,0.6647756575554409,0.2704626334519573,0.9518518518518518,0.5842985842985843,0.32727272727272727,0.30612244897959184,0.5674698795180723,0.5210755813953488
Gabriella Fernandes,,No,No,No,0.0,0.0,0.0,0.0,0.2333333333333332,21.0,13.0,15.0,47.0,2.0,0.0,49.0,103.0,101.0,158.0,1.0,71.0,16.0,16.0,100.0,3.0,0.0,0.0,7.0,0.0,0.0,22.366666666666667,55.0,15.0,11.0,33.0,8.0,40.0,81.0,153.0,330.0,450.0,18.0,116.0,22.0,15.0,96.0,8.0,49.0,11.0,61.0,7.0,4.0,63.0,0.0,9.0,72.0,120.0,0.0,0.29577464788732394,0.8125,0.0,0.47,0.6666666666666666,,0.47572815533980584,0.6392405063291139,0.6111111111111112,0.5258620689655172,0.31818181818181823,0.5333333333333333,0.65625,0.0,0.18367346938775508,0.47058823529411764,0.2666666666666667
Tereza Bleda,,No,No,No,0.0,4.0,2.0,0.0,15.783333333333333,46.0,19.0,10.0,30.0,12.0,33.0,75.0,146.0,206.0,290.0,17.0,103.0,28.0,15.0,96.0,14.0,36.0,1.0,0.0,0.0,1.0,2.3833333333333333,37.0,12.0,19.0,63.0,2.0,3.0,68.0,119.0,109.0,161.0,3.0,84.0,15.0,20.0,110.0,5.0,4.0,3.0,47.0,3.0,1.0,47.0,3.0,1.0,51.0,52.0,0.23529411764705882,0.44660194174757284,0.6785714285714286,0.26666666666666666,0.3125,0.8571428571428571,0.9166666666666666,0.5136986301369864,0.7103448275862069,1.0,0.5595238095238095,0.19999999999999996,1.0,0.42727272727272725,0.6,0.25,0.4285714285714286,0.3229813664596274
