FIGHTER,STANCE,EVER_CHAMPION,EVER_INTERIM,EVER_CHALLENGER,FA_FIGHTER,FA_KD,FA_TD,FA_SUB.ATT,FA_REV,FA_CTRL,FA_HEAD,FA_BODY,FA_LEG,FA_DISTANCE,FA_CLINCH,FA_GROUND,FA_SIG,FA_TOT.SIG,FA_STR,FA_TOTAL.STR,FA_TOTAL.TD,FA_TOTAL.HEAD,FA_TOTAL.BODY,FA_TOTAL.LEG,FA_TOTAL.DISTANCE,FA_TOTAL.CLINCH,FA_TOTAL.GROUND,FA_OPP_KD,FA_OPP_TD,FA_OPP_SUB.ATT,FA_OPP_REV,FA_OPP_CTRL,FA_OPP_HEAD,FA_OPP_BODY,FA_OPP_LEG,FA_OPP_DISTANCE,FA_OPP_CLINCH,FA_OPP_GROUND,FA_OPP_SIG,FA_OPP_TOT.SIG,FA_OPP_STR,FA_OPP_TOTAL.STR,FA_OPP_TOTAL.TD,FA_OPP_TOTAL.HEAD,FA_OPP_TOTAL.BODY,FA_OPP_TOTAL.LEG,FA_OPP_TOTAL.DISTANCE,FA_OPP_TOTAL.CLINCH,FA_OPP_TOTAL.GROUND,FA_TD_DEF,FA_HEAD_DEF,FA_BODY_DEF,FA_LEG_DEF,FA_DISTANCE_DEF,FA_CLINCH_DEF,FA_GROUND_DEF,FA_SIG_DEF,FA_STR_DEF,FA_TD_%,FA_HEAD_%,FA_BODY_%,FA_LEG_%,FA_DISTANCE_%,FA_CLINCH_%,FA_GROUND_%,FA_SIG_%,FA_STR_%,FA_TD_DEF_%,FA_HEAD_DEF_%,FA_BODY_DEF_%,FA_LEG_DEF_%,FA_DISTANCE_DEF_%,FA_CLINCH_DEF_%,FA_GROUND_DEF_%,FA_SIG_DEF_%,FA_STR_DEF_%
Asu Almabayev,,No,No,No,Asu Almabayev,0.0,3.0,0.0,0.0,3.1777777777777776,7.333333333333333,3.0,4.333333333333333,7.666666666666667,2.6666666666666665,4.333333333333333,14.666666666666666,25.666666666666668,28.333333333333332,44.0,4.666666666666667,17.666666666666668,3.6666666666666665,4.333333333333333,17.0,3.3333333333333335,5.333333333333333,0.0,0.0,0.0,0.0,0.07777777777777777,4.333333333333333,4.666666666666667,0.6666666666666666,7.333333333333333,1.3333333333333333,1.0,9.666666666666666,17.666666666666668,22.0,30.666666666666668,0.0,10.666666666666666,5.666666666666667,1.3333333333333333,15.333333333333334,1.3333333333333333,1.0,0.0,6.333333333333333,1.0,0.6666666666666666,8.0,0.0,0.0,8.0,8.666666666666666,0.6428571428571428,0.4150943396226415,0.8181818181818182,0.6923076923076924,0.45098039215686275,0.7999999999999999,0.8125,0.5714285714285714,0.6439393939393939,,0.59375,0.17647058823529416,1.0,0.5217391304347827,0.0,0.0,0.4528301886792454,0.28260869565217395
CJ Vergara,Orthodox,No,No,No,CJ Vergara,0.0,0.0,0.08333333333333333,0.08333333333333333,0.6944444444444443,13.222222222222221,8.861111111111112,3.1944444444444446,17.11111111111111,2.0277777777777777,6.138888888888888,25.277777777777775,43.72222222222223,35.69444444444444,55.38888888888889,0.0,28.38888888888889,11.694444444444445,3.638888888888889,31.944444444444443,2.6944444444444446,9.083333333333334,0.16666666666666666,1.0,0.38888888888888884,0.1111111111111111,1.3162037037037038,13.611111111111109,5.5,2.9444444444444446,19.02777777777778,1.5277777777777777,1.5,22.055555555555554,46.583333333333336,26.61111111111111,52.27777777777777,2.5,36.05555555555556,7.333333333333333,3.194444444444444,42.5,2.0833333333333335,2.0,1.5,22.444444444444443,1.8333333333333333,0.25,23.472222222222225,0.5555555555555555,0.5,24.527777777777782,25.666666666666668,,0.4657534246575342,0.7577197149643706,0.0,0.5356521739130435,0.7525773195876287,0.6758409785932721,0.5781448538754763,0.644433299899699,0.6,0.6224961479198767,0.25,0.6869565217391305,0.5522875816993464,0.2666666666666667,0.25,0.5265354800238522,0.4909670563230605
Curtis Blaydes,Orthodox,No,No,No,Curtis Blaydes,0.05555555555555555,1.2666666666666666,0.0,0.0,1.5191975308641976,9.433333333333334,1.4759259259259259,2.385185185185185,6.462962962962963,1.6129629629629632,5.218518518518518,13.294444444444444,27.97037037037037,22.492592592592594,39.153703703703705,2.4444444444444446,23.51851851851852,1.6925925925925926,2.759259259259259,19.392592592592592,2.0296296296296297,6.548148148148148,0.15740740740740738,0.34444444444444444,0.037037037037037035,0.0,0.20188271604938268,6.401851851851852,1.2240740740740739,0.7277777777777779,6.603703703703704,1.1018518518518519,0.6481481481481481,8.353703703703705,19.874074074074073,12.364814814814814,24.16111111111111,0.48518518518518516,17.364814814814814,1.6703703703703703,0.838888888888889,17.75185185185185,1.3444444444444443,0.7777777777777778,0.14074074074074075,10.962962962962964,0.4462962962962963,0.1111111111111111,11.148148148148147,0.24259259259259258,0.12962962962962962,11.52037037037037,11.796296296296298,0.5181818181818181,0.4011023622047244,0.8719912472647702,0.4590604026845638,0.3332696715049656,0.7947080291970804,0.796945701357466,0.47530455508474573,0.574469091425058,0.2900763358778625,0.6313319825103978,0.26718403547671854,0.5894039735099339,0.627999165449614,0.18044077134986214,0.16666666666666674,0.5796682817741334,0.4882348432589868
Jailton Almeida,Orthodox,No,No,No,Jailton Almeida,0.0,2.0285714285714285,0.6857142857142857,0.028571428571428574,3.5654761904761902,13.557142857142859,0.5714285714285714,0.09999999999999999,0.42857142857142855,0.08571428571428572,13.714285714285714,14.228571428571428,22.457142857142856,26.142857142857142,37.01428571428572,3.0,21.228571428571428,0.8571428571428571,0.37142857142857144,1.7714285714285716,0.2285714285714286,20.457142857142856,0.0,0.0,0.0,0.0,0.03785714285714285,1.7,0.08571428571428572,0.14285714285714285,0.2714285714285714,0.028571428571428574,1.6285714285714286,1.9285714285714286,3.4,5.8,8.042857142857143,0.05714285714285715,3.085714285714286,0.17142857142857143,0.14285714285714285,1.1428571428571428,0.028571428571428574,2.2285714285714286,0.05714285714285715,1.3857142857142857,0.08571428571428572,0.0,0.8714285714285713,0.0,0.6,1.4714285714285715,2.242857142857143,0.6761904761904761,0.6386271870794079,0.6666666666666666,5.461538461538461,0.24193548387096772,0.37499999999999994,0.670391061452514,0.633587786259542,0.7062910073330759,1.0,0.44907407407407407,0.5,1.0,0.7625,0.0,0.2692307692307693,0.4327731092436975,0.27886323268206037
Benoit Saint Denis,Southpaw,No,No,No,Benoit Saint Denis,0.35714285714285715,1.238095238095238,0.5,0.14285714285714285,1.9317460317460318,10.833333333333334,6.380952380952381,3.047619047619048,11.404761904761903,3.642857142857143,5.214285714285714,20.26190476190476,37.11904761904763,32.66666666666667,51.357142857142854,3.238095238095238,25.642857142857142,8.285714285714286,3.1904761904761907,23.309523809523807,4.69047619047619,9.119047619047619,0.07142857142857142,0.42857142857142855,0.42857142857142855,0.0,0.25595238095238093,9.857142857142858,4.261904761904762,1.6190476190476188,11.976190476190478,3.2380952380952377,0.5238095238095238,15.738095238095237,27.547619047619044,18.952380952380953,31.571428571428573,0.9761904761904762,21.023809523809526,4.785714285714286,1.7380952380952384,22.642857142857142,4.3809523809523805,0.5238095238095238,0.5476190476190476,11.166666666666666,0.5238095238095238,0.11904761904761904,10.666666666666668,1.1428571428571428,0.0,11.809523809523808,12.61904761904762,0.3823529411764705,0.42246982358402974,0.7701149425287356,0.3880597014925372,0.48927477017364657,0.7766497461928935,0.5718015665796345,0.5458627325208465,0.6360686138154846,0.5609756097560976,0.5311438278595697,0.1094527363184079,0.7534246575342466,0.4710830704521556,0.26086956521739135,0.0,0.4286949006050129,0.3996983408748115
Dustin Poirier,Southpaw,No,Yes,Yes,Dustin Poirier,0.3333333333333333,0.38,0.41555555555555557,0.03888888888888888,0.931787037037037,18.404444444444444,1.9866666666666668,2.8544444444444443,16.20388888888889,4.217222222222222,2.8244444444444445,23.245555555555555,45.263333333333335,27.461666666666666,50.01611111111111,0.986111111111111,38.940555555555555,2.9033333333333333,3.4194444444444443,34.181111111111115,6.597777777777778,4.484444444444445,0.08333333333333333,0.3377777777777778,0.33722222222222226,0.03333333333333333,0.7372777777777777,11.157222222222224,3.819444444444444,2.3938888888888887,12.997777777777777,2.606666666666667,1.7661111111111112,17.370555555555555,38.315555555555555,22.53611111111111,44.07611111111111,1.0266666666666666,29.80388888888889,5.589444444444444,2.9222222222222225,32.151666666666664,3.98,2.1838888888888888,0.6888888888888889,18.646666666666665,1.77,0.5283333333333333,19.15388888888889,1.3733333333333335,0.41777777777777775,20.945,21.540000000000003,0.38535211267605635,0.47262922117757833,0.6842709529276694,0.11112916328188466,0.4740597470987875,0.6391882788817784,0.6298315163528245,0.5135626089304564,0.5490564151551167,0.670995670995671,0.6256454228568232,0.3166683232283073,0.8844106463878327,0.5957354897793443,0.34505862646566154,0.19129992368354098,0.5466448207864517,0.4887001020961216
Gilbert Burns,Orthodox,No,No,Yes,Gilbert Burns,0.10606060606060605,0.7378787878787879,0.2590909090909091,0.0,1.2618181818181817,9.092424242424242,3.015151515151515,2.731818181818182,10.783333333333333,1.4136363636363638,2.6424242424242426,14.839393939393938,30.507575757575754,21.32121212121212,37.99696969696969,1.8136363636363635,23.08030303030303,3.98030303030303,3.446969696969697,25.08939393939394,2.122727272727273,3.2954545454545454,0.18181818181818182,0.25,0.045454545454545456,0.0,0.4559848484848485,9.357575757575757,2.8803030303030304,2.640909090909091,12.509090909090908,1.1803030303030302,1.1893939393939392,14.878787878787877,32.5030303030303,19.245454545454546,37.415151515151514,0.4575757575757576,24.954545454545453,4.557575757575758,2.9909090909090907,29.171212121212122,1.6727272727272726,1.6590909090909092,0.20757575757575755,15.596969696969696,1.6772727272727272,0.35,16.66212121212121,0.4924242424242424,0.46969696969696967,17.624242424242425,18.16969696969697,0.40685045948203846,0.3939473511455393,0.7575180814617435,0.21406593406593408,0.42979648529500575,0.6659528907922913,0.8018390804597701,0.48641668736031785,0.5611292766568308,0.45364238410596025,0.6250151791135398,0.3680186170212766,0.9164133738601824,0.5711837116293565,0.2943840579710145,0.2831050228310503,0.5422338243520417,0.48562403822790956
Jack Della Maddalena,Switch,No,No,No,Jack Della Maddalena,0.7619047619047619,0.047619047619047616,0.14285714285714285,0.0,0.20158730158730157,18.952380952380953,6.571428571428571,2.047619047619048,21.809523809523807,2.380952380952381,3.380952380952381,27.571428571428573,51.142857142857146,33.285714285714285,57.523809523809526,0.14285714285714285,38.952380952380956,9.428571428571429,2.761904761904762,43.76190476190476,2.8095238095238098,4.571428571428571,0.0,0.6190476190476192,0.14285714285714285,0.047619047619047616,0.6626984126984128,8.666666666666666,3.476190476190476,3.5714285714285716,14.809523809523808,0.8571428571428571,0.047619047619047616,15.714285714285714,49.19047619047619,16.666666666666668,50.23809523809524,2.0,38.61904761904761,6.428571428571429,4.142857142857143,48.0,1.1428571428571428,0.047619047619047616,1.3809523809523812,29.952380952380953,2.9523809523809526,0.5714285714285714,33.19047619047619,0.2857142857142857,0.0,33.476190476190474,33.57142857142857,0.3333333333333333,0.4865525672371638,0.6969696969696969,0.017241379310344827,0.49836779107725787,0.847457627118644,0.7395833333333334,0.5391061452513967,0.5786423841059603,0.6904761904761905,0.7755856966707768,0.45925925925925937,0.8505747126436781,0.691468253968254,0.25,0.0,0.6805421103581801,0.6682464454976303
Ion Cutelaba,Southpaw,No,No,No,Ion Cutelaba,0.08333333333333333,1.1041666666666667,0.0,0.0,0.8539930555555555,13.25,2.7916666666666665,1.1979166666666667,8.385416666666666,4.270833333333333,4.583333333333333,17.239583333333332,35.510416666666664,21.9375,41.208333333333336,1.7291666666666665,30.25,3.9583333333333335,1.3020833333333333,23.8125,5.833333333333333,5.864583333333333,0.15625,0.35416666666666663,0.3020833333333333,0.0625,0.7126736111111112,8.9375,1.4791666666666667,1.3541666666666667,8.53125,1.8854166666666667,1.3541666666666667,11.770833333333334,22.385416666666668,15.614583333333334,26.947916666666668,1.25,19.03125,1.9166666666666667,1.4375,17.791666666666668,2.614583333333333,1.9791666666666667,0.8958333333333334,10.09375,0.4375,0.08333333333333333,9.260416666666666,0.7291666666666666,0.625,10.614583333333334,11.333333333333334,0.6385542168674699,0.4380165289256198,0.7052631578947368,0.8480000000000001,0.3521434820647419,0.7321428571428571,0.7815275310834814,0.4854796127896744,0.5323559150657229,0.7166666666666667,0.5303776683087028,0.2282608695652174,0.7536231884057971,0.5204918032786885,0.2788844621513943,0.3157894736842105,0.4741740344346208,0.4205643602628527
Philipe Lins,Orthodox,No,No,No,Philipe Lins,0.16666666666666666,0.38888888888888884,0.0,0.0,1.0916666666666666,10.055555555555555,3.5,2.5,13.333333333333334,2.111111111111111,0.6111111111111112,16.055555555555554,34.05555555555556,18.444444444444446,36.55555555555556,1.1666666666666667,25.666666666666668,5.388888888888888,3.0,30.444444444444443,2.8333333333333335,0.7777777777777778,0.16666666666666666,0.0,0.0,0.0,0.15555555555555553,5.888888888888889,4.0,4.555555555555556,11.611111111111112,2.611111111111111,0.2222222222222222,14.444444444444445,26.444444444444443,24.222222222222225,36.5,0.27777777777777773,16.22222222222222,4.833333333333333,5.388888888888889,22.722222222222218,3.5,0.2222222222222222,0.27777777777777773,10.333333333333334,0.8333333333333334,0.8333333333333334,11.111111111111109,0.8888888888888888,0.0,12.0,12.277777777777777,0.33333333333333326,0.3917748917748918,0.6494845360824743,0.12962962962962962,0.43795620437956206,0.7450980392156863,0.7857142857142858,0.4714518760195758,0.5045592705167173,1.0,0.6369863013698629,0.17241379310344818,1.0,0.48899755501222475,0.25396825396825395,0.0,0.45378151260504196,0.33637747336377466
