FIGHTER,WEIGHTCLASS
Chael Sonnen,Light Heavyweight
Vitor Belfort,Light Heavyweight
Joey Beltran,Light Heavyweight
Matt Hamill,Light Heavyweight
Thiago Silva,Light Heavyweight
Ednaldo Oliveira,Light Heavyweight
Lyoto Machida,Light Heavyweight
Vinny Magalhaes,Light Heavyweight
Roger Hollett,Light Heavyweight
Gegard Mousasi,Light Heavyweight
Brian Stann,Light Heavyweight
Wanderlei Silva,Light Heavyweight
Quinton Jackson,Light Heavyweight
Vladimir Matyushenko,Light Heavyweight
Ildemar Alcantara,Light Heavyweight
Wagner Prado,Light Heavyweight
Nick Penner,Light Heavyweight
Chad Griggs,Light Heavyweight
Stephan Bonnar,Light Heavyweight
Brandon Vera,Light Heavyweight
Forrest Griffin,Light Heavyweight
Tito Ortiz,Light Heavyweight
Tom DeBlass,Light Heavyweight
Aaron Rosa,Light Heavyweight
Krzysztof Soszynski,Light Heavyweight
Jason Brilz,Light Heavyweight
Matt Lucas,Light Heavyweight
Eliot Marshall,Light Heavyweight
Ricardo Romero,Light Heavyweight
Luiz Cane,Light Heavyweight
Karlos Vemola,Light Heavyweight
Ronny Markes,Light Heavyweight
Mike Massenzio,Light Heavyweight
Randy Couture,Light Heavyweight
Todd Brown,Light Heavyweight
Steve Cantwell,Light Heavyweight
Tom Blackledge,Light Heavyweight
Rich Franklin,Light Heavyweight
Goran Reljic,Light Heavyweight
Seth Petruzelli,Light Heavyweight
Alexandre Ferreira,Light Heavyweight
James McSweeney,Light Heavyweight
Jared Hamman,Light Heavyweight
Rodney Wallace,Light Heavyweight
James Irvin,Light Heavyweight
Keith Jardine,Light Heavyweight
Chuck Liddell,Light Heavyweight
Eric Schafer,Light Heavyweight
Mark Coleman,Light Heavyweight
Razak Al-Hassan,Light Heavyweight
Jake O'Brien,Light Heavyweight
Mike Ciesnolevicz,Light Heavyweight
Tomasz Drwal,Light Heavyweight
Andre Gusmao,Light Heavyweight
Carmelo Marrero,Light Heavyweight
Michael Patt,Light Heavyweight
Mark Munoz,Light Heavyweight
Christian Wellisch,Light Heavyweight
Antonio Mendes,Light Heavyweight
Ivan Serati,Light Heavyweight
Reese Andy,Light Heavyweight
Jules Bruchez,Light Heavyweight
Shane Primm,Light Heavyweight
Rameau Thierry Sokoudjou,Light Heavyweight
Houston Alexander,Light Heavyweight
Brad Morris,Light Heavyweight
Jason Lambert,Light Heavyweight
Wilson Gouveia,Light Heavyweight
Kazuhiro Nakamura,Light Heavyweight
David Heath,Light Heavyweight
Alessio Sakara,Light Heavyweight
James Lee,Light Heavyweight
Michael Bisping,Light Heavyweight
Renato Sobral,Light Heavyweight
Mike Nickels,Light Heavyweight
Hector Ramirez,Light Heavyweight
Alan Belcher,Light Heavyweight
Sean Salmon,Light Heavyweight
Victor Valimaki,Light Heavyweight
Elvis Sinosic,Light Heavyweight
Rex Holman,Light Heavyweight
Sam Hoger,Light Heavyweight
Marvin Eastman,Light Heavyweight
Drew McFedries,Light Heavyweight
Ken Shamrock,Light Heavyweight
Cory Walmsley,Light Heavyweight
Rob MacDonald,Light Heavyweight
Wes Combs,Light Heavyweight
Branden Lee Hinkle,Light Heavyweight
Kristian Rothaermel,Light Heavyweight
Jesse Forbes,Light Heavyweight
Josh Haynes,Light Heavyweight
Dean Lister,Light Heavyweight
Terry Martin,Light Heavyweight
Mike Whitehead,Light Heavyweight
Mike van Arsdale,Light Heavyweight
Jeff Newton,Light Heavyweight
Ron Faircloth,Light Heavyweight
Jeremy Horn,Light Heavyweight
Bill Mahood,Light Heavyweight
Travis Wiuff,Light Heavyweight
Bobby Southworth,Light Heavyweight
Patrick Cote,Light Heavyweight
Travis Lutter,Light Heavyweight
Vernon White,Light Heavyweight
Edwin DeWees,Light Heavyweight
Evan Tanner,Light Heavyweight
Chris Haseman,Light Heavyweight
James Zikic,Light Heavyweight
Phillip Miller,Light Heavyweight
Amar Suloev,Light Heavyweight
Kevin Randleman,Light Heavyweight
Homer Moore,Light Heavyweight
Murilo Bustamante,Light Heavyweight
Yuki Kondo,Light Heavyweight
Matt Lindland,Light Heavyweight
Ricardo Almeida,Light Heavyweight
