FIGHTER,WEIGHTCLASS
John Maguire,Welterweight
Renee Forte,Welterweight
Aaron Simpson,Welterweight
Duane Ludwig,Welterweight
Dan Hardy,Welterweight
Charlie Brenneman,Welterweight
DaMarques Johnson,Welterweight
Dan Stittgen,Welterweight
Ricardo Funch,Welterweight
Luis Ramos,Welterweight
Jake Hecht,Welterweight
Carlos Eduardo Rocha,Welterweight
Jorge Lopez,Welterweight
Chris Cope,Welterweight
Henry Martinez,Welterweight
Daniel Roberts,Welterweight
Carlo Prater,Welterweight
Claude Patrick,Welterweight
Rich Attonito,Welterweight
Clay Harvison,Welterweight
Paul Bradley,Welterweight
Anthony Johnson,Welterweight
Matt Hughes,Welterweight
Chris Lytle,Welterweight
Dennis Hallman,Welterweight
Chuck O'Neil,Welterweight
Ramsey Nijem,Welterweight
Ryan McGillivray,Welterweight
Shamar Bailey,Welterweight
Kris McCray,Welterweight
Ricardo Almeida,Welterweight
Amilcar Alves,Welterweight
Mike Guymon,Welterweight
Greg Soto,Welterweight
TJ Grant,Welterweight
Karo Parisyan,Welterweight
Brian Foster,Welterweight
Nick Osipczak,Welterweight
Mark Scanlon,Welterweight
James Wilks,Welterweight
Matt Serra,Welterweight
Julio Paulino,Welterweight
Forrest Petz,Welterweight
Marcus Davis,Welterweight
Dustin Hazelett,Welterweight
Jesse Lennox,Welterweight
Paul Daley,Welterweight
Jonathan Goulet,Welterweight
Yoshiyuki Yoshida,Welterweight
Brad Blackburn,Welterweight
Renzo Gracie,Welterweight
Rory Markham,Welterweight
Frank Trigg,Welterweight
Jacob Volkmann,Welterweight
Kevin Burns,Welterweight
Phil Baroni,Welterweight
Brock Larson,Welterweight
Paul Taylor,Welterweight
Chris Wilson,Welterweight
Danillo Villefort,Welterweight
Tamdan McCrory,Welterweight
Dan Cramer,Welterweight
Frank Lester,Welterweight
Brandon Wolff,Welterweight
Ryo Chonan,Welterweight
Jesse Sanders,Welterweight
Pete Sell,Welterweight
Ryan Madigan,Welterweight
Paul Kelly,Welterweight
Troy Mandaloniz,Welterweight
Luigi Fioravanti,Welterweight
Steve Bruno,Welterweight
Matt Arroyo,Welterweight
Akihiro Gono,Welterweight
Tom Egan,Welterweight
Alexandre Barros,Welterweight
Johnny Rees,Welterweight
Ryan Thomas,Welterweight
Luke Cummo,Welterweight
James Giboo,Welterweight
Brodie Farber,Welterweight
Jess Liaudin,Welterweight
Jason Tan,Welterweight
War Machine,Welterweight
Kuniyoshi Hironaka,Welterweight
Tommy Speer,Welterweight
George Sotiropoulos,Welterweight
Roman Mitichyan,Welterweight
David Bielkheden,Welterweight
Kyle Bradley,Welterweight
Tony DeSouza,Welterweight
Dan Barrera,Welterweight
Billy Miles,Welterweight
Paul Georgieff,Welterweight
Mac Danzig,Welterweight
John Kolosci,Welterweight
Dorian Price,Welterweight
Richie Hightower,Welterweight
Jared Rollins,Welterweight
Rich Clementi,Welterweight
Edilberto de Oliveira,Welterweight
Anthony Torres,Welterweight
Jason Gilliam,Welterweight
Stevie Lynch,Welterweight
Chad Reiner,Welterweight
Pete Spratt,Welterweight
Dennis Siver,Welterweight
Josh Haynes,Welterweight
Drew Fickett,Welterweight
Ross Pointon,Welterweight
Jeff Joslin,Welterweight
Dave Menne,Welterweight
Shonie Carter,Welterweight
Gleison Tibau,Welterweight
Jeremy Jackson,Welterweight
John Alessio,Welterweight
Pat Healy,Welterweight
Sammy Morgan,Welterweight
Jason Von Flue,Welterweight
Kurt Pellegrino,Welterweight
Nick Thompson,Welterweight
Sean Sherk,Welterweight
Derrick Noble,Welterweight
Ansar Chalangov,Welterweight
Joe Stevenson,Welterweight
Alex Karalexis,Welterweight
Melvin Guillard,Welterweight
Aaron Riley,Welterweight
Spencer Fisher,Welterweight
Kenny Florian,Welterweight
Kit Cope,Welterweight
Brian Gassaway,Welterweight
Koji Oishi,Welterweight
Jason Miller,Welterweight
Josh Rafferty,Welterweight
Renato Verissimo,Welterweight
Ronald Jhun,Welterweight
Tiki Ghosn,Welterweight
Carlos Newton,Welterweight
Dave Strasser,Welterweight
Romie Aram,Welterweight
Gil Castillo,Welterweight
Benji Radach,Welterweight
Nick Serra,Welterweight
Zach Light,Welterweight
Steve Berger,Welterweight
Hayato Sakurai,Welterweight
Jutaro Nakao,Welterweight
Chris Brennan,Welterweight
Yves Edwards,Welterweight
Pat Miletich,Welterweight
Paul Rodriguez,Welterweight
Fabiano Iha,Welterweight
Phil Johns,Welterweight
Daiju Takase,Welterweight
Kenichi Yamamoto,Welterweight
Ben Earwood,Welterweight
Brad Gumm,Welterweight
CJ Fernandes,Welterweight
Laverne Clark,Welterweight
Marcelo Aguiar,Welterweight
Adrian Serrano,Welterweight
